cve_id,cvss_score,description,access_vector,access_complexity,exploit,predicted_severity
cve-2008-5305,10.0,"twiki, twiki version prior to 4.2.4. successful exploitation could allow execution of arbitrary script code or commands. this could let attackers steal cookie-based authentication credentials or compromise the affected application.",network,low,exploits/php/webapps/32645.txt,high
cve-1999-0618,10.0,,network,low,,high
cve-2011-2523,9.8,the vsftpd 2.3.4 source package downloaded between 20110630 and 20110703 is affected. attackers can exploit this issue to execute arbitrary commands in the context of the application. successful attacks will compromise the affected application.,network,low,exploits/unix/remote/17491.rb,high
cve-2012-1823,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,exploits/php/remote/18836.py,high
cve-2012-2311,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,exploits/php/remote/18836.py,high
cve-2012-2336,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,exploits/php/remote/18836.py,high
cve-2012-2335,9.8,php versions prior to 5.3.13 and 5.4.x prior to 5.4.3. other products / applications might be affected by the tested cve-2012-1823 as well. exploiting this issue allows remote attackers to view the source code of files in the context of the server process. this may allow the attacker to obtain sensitive information and to run arbitrary php code on the affected computer. other attacks are also possible.,network,low,,high
cve-2020-1938,9.8,"apache tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the ajp connector is enabled. other products like jboss or wildfly which are using tomcat might be affected as well.",network,low,exploits/multiple/webapps/49039.rb,high
cve-2011-2523,9.8,the vsftpd 2.3.4 source package downloaded between 20110630 and 20110703 is affected. attackers can exploit this issue to execute arbitrary commands in the context of the application. successful attacks will compromise the affected application.,network,low,exploits/unix/remote/17491.rb,high
cve-2004-2687,9.3,distcc by default trusts its clients completely that in turn could allow a malicious client to execute arbitrary commands on the server.,network,medium,exploits/multiple/remote/9915.rb,high
cve-2016-7144,8.1,unrealircd before 3.2.10.7 and 4.x before 4.0.6. successful exploitation of this vulnerability will allows remote attackers to spoof certificate fingerprints and consequently log in as another user.,network,medium,,high
cve-2011-3556,7.5,"an unauthenticated, remote attacker could exploit the vulnerability by transmitting crafted packets to the affected software. when the packets are processed, the attacker could execute arbitrary code on the system with elevated privileges.",network,low,exploits/multiple/remote/17535.rb,high
cve-1999-0501,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-1999-0502,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,exploits/multiple/remote/41694.rb,high
cve-1999-0507,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-1999-0508,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2001-1594,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2013-7404,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2014-9198,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2015-7261,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2016-8731,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2017-8218,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-9068,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-17771,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2018-19063,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-19064,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-1999-0501,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-1999-0502,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,exploits/multiple/remote/41694.rb,high
cve-1999-0507,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-1999-0508,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2001-1594,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2013-7404,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2014-9198,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2015-7261,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2016-8731,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2017-8218,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-9068,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-17771,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,local,low,,high
cve-2018-19063,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2018-19064,7.5,this issue may be exploited by a remote attacker to e.g. gain access to sensitive information or modify system configuration.,network,low,,high
cve-2014-0224,7.4,"openssl before 0.9.8za, 1.0.0 before 1.0.0m and 1.0.1 before 1.0.1h. successfully exploiting this issue may allow attackers to obtain sensitive information by conducting a man-in-the-middle attack. this may lead to other attacks.",network,medium,,high
cve-2009-4898,6.8,twiki version prior to 4.3.2 successful exploitation will allow attacker to gain administrative privileges on the target application and can cause csrf attack.,network,medium,,medium
cve-2011-0411,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,,medium
cve-2011-1430,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,,medium
cve-2011-1431,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,,medium
cve-2011-1432,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,,medium
cve-2011-1506,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,,medium
cve-2011-1575,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,,medium
cve-2011-1926,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,high,,medium
cve-2011-2165,6.8,the following vendors are known to be affected: ipswitch kerio postfix qmail-tls oracle sco group spamdyke isc an attacker can exploit this issue to execute arbitrary commands in the context of the user running the application. successful exploits can allow attackers to obtain email usernames and passwords.,network,medium,exploits/php/webapps/37440.txt,medium
cve-1999-0497,6.4,based on the files accessible via this anonymous ftp login and the permissions of this account an attacker might be able to: - gain access to sensitive files - upload or delete files.,network,low,,medium
cve-2018-20212,6.1,twiki version 6.0.2 and probably prior.,network,medium,,medium
cve-2012-6708,6.1,jquery prior to version 1.9.0.,network,medium,exploits/hardware/webapps/49708.txt,medium
cve-2009-1339,6.0,twiki version prior to 4.3.1 successful exploitation will allow attacker to gain administrative privileges on the target application and can cause csrf attack.,network,medium,,medium
cve-2007-2447,6.0,samba versions 3.0.0 through 3.0.25rc3. an attacker may leverage this issue to execute arbitrary shell commands on an affected system with the privileges of the application.,network,medium,exploits/unix/remote/16320.rb,medium
cve-2013-2566,5.9,"all services providing an encrypted communication using weak ssl/tls cipher suites. this could allow remote attackers to obtain sensitive information or have other, unspecified impacts.",network,medium,,medium
cve-2015-2808,5.9,"all services providing an encrypted communication using weak ssl/tls cipher suites. this could allow remote attackers to obtain sensitive information or have other, unspecified impacts.",network,low,,medium
cve-2015-4000,5.9,"all services providing an encrypted communication using weak ssl/tls cipher suites. this could allow remote attackers to obtain sensitive information or have other, unspecified impacts.",network,medium,,medium
cve-2016-0800,5.9,all services providing an encrypted communication using the sslv2 and/or sslv3 protocols. an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2014-3566,5.9,all services providing an encrypted communication using the sslv2 and/or sslv3 protocols. an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2016-0800,5.9,all services providing an encrypted communication using the sslv2 and/or sslv3 protocols. an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2014-3566,5.9,all services providing an encrypted communication using the sslv2 and/or sslv3 protocols. an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2003-1567,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2004-2320,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2004-2763,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2005-3398,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2006-4683,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,low,,medium
cve-2007-3008,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2008-7253,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2009-2823,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2010-0386,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2012-2223,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,medium,,medium
cve-2014-7883,5.8,web servers with enabled trace and/or track methods. an attacker may use this flaw to trick your legitimate web users to give him their credentials.,network,low,exploits/windows/webapps/35982.txt,medium
cve-2008-0149,5.3,"all systems exposing a file containing the output of the phpinfo() php function. this vt is also reporting if an affected endpoint for the following products have been identified: - cve-2008-0149: tutos - cve-2023-49282, cve-2023-49283: microsoft graph php sdk - cve-2024-10486: google for woocommerce plugin for wordpress some of the information that can be gathered from this file includes: the username of the user running the php process, if it is a sudo user, the ip address of the host, the web server version, the system version (unix, linux, windows, ...), and the root directory of the web server.",network,low,exploits/php/webapps/4861.txt,medium
cve-2023-49282,5.3,"all systems exposing a file containing the output of the phpinfo() php function. this vt is also reporting if an affected endpoint for the following products have been identified: - cve-2008-0149: tutos - cve-2023-49282, cve-2023-49283: microsoft graph php sdk - cve-2024-10486: google for woocommerce plugin for wordpress some of the information that can be gathered from this file includes: the username of the user running the php process, if it is a sudo user, the ip address of the host, the web server version, the system version (unix, linux, windows, ...), and the root directory of the web server.",network,medium,,medium
cve-2023-49283,5.3,"all systems exposing a file containing the output of the phpinfo() php function. this vt is also reporting if an affected endpoint for the following products have been identified: - cve-2008-0149: tutos - cve-2023-49282, cve-2023-49283: microsoft graph php sdk - cve-2024-10486: google for woocommerce plugin for wordpress some of the information that can be gathered from this file includes: the username of the user running the php process, if it is a sudo user, the ip address of the host, the web server version, the system version (unix, linux, windows, ...), and the root directory of the web server.",network,medium,,medium
cve-2024-10486,5.3,"all systems exposing a file containing the output of the phpinfo() php function. this vt is also reporting if an affected endpoint for the following products have been identified: - cve-2008-0149: tutos - cve-2023-49282, cve-2023-49283: microsoft graph php sdk - cve-2024-10486: google for woocommerce plugin for wordpress some of the information that can be gathered from this file includes: the username of the user running the php process, if it is a sudo user, the ip address of the host, the web server version, the system version (unix, linux, windows, ...), and the root directory of the web server.",network,medium,,medium
cve-1999-0678,5.0,,network,low,exploits/linux/remote/19253.txt,medium
cve-2011-1473,5.0,every ssl/tls service which does not properly restrict client-initiated renegotiation. the flaw might make it easier for remote attackers to cause a dos (cpu consumption) by performing many renegotiations within a single connection.,network,low,,medium
cve-2011-5094,5.0,every ssl/tls service which does not properly restrict client-initiated renegotiation. the flaw might make it easier for remote attackers to cause a dos (cpu consumption) by performing many renegotiations within a single connection.,network,medium,,medium
cve-2011-1473,5.0,every ssl/tls service which does not properly restrict client-initiated renegotiation. the flaw might make it easier for remote attackers to cause a dos (cpu consumption) by performing many renegotiations within a single connection.,network,low,,medium
cve-2011-5094,5.0,every ssl/tls service which does not properly restrict client-initiated renegotiation. the flaw might make it easier for remote attackers to cause a dos (cpu consumption) by performing many renegotiations within a single connection.,network,medium,,medium
cve-2005-0283,5.0,,network,low,exploits/php/webapps/737.txt,medium
cve-2010-4480,4.3,phpmyadmin version 3.3.8.1 and prior. successful exploitation will allow attackers to inject arbitrary html code within the error page and conduct phishing attacks.,network,medium,exploits/php/webapps/15699.txt,medium
cve-2011-4969,4.3,jquery prior to version 1.6.3.,network,medium,,medium
cve-2012-0053,4.3,apache http server versions 2.2.0 through 2.2.21. successful exploitation will allow attackers to obtain sensitive information that may aid in further attacks.,network,medium,exploits/multiple/remote/18442.html,medium
cve-2011-3389,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2015-0204,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2023-41928,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2024-41270,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2025-3200,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2015-0204,4.3,"'- hosts accepting 'rsa_export' cipher suites. - openssl versions prior to 0.9.8zd, 1.0.0 prior to 1.0.0p and 1.0.1 prior to 1.0.1k. successful exploitation will allow remote attacker to downgrade the security of a session to use 'rsa_export' cipher suites, which are significantly weaker than non-export cipher suites. this may allow a man-in-the-middle attacker to more easily break the encryption and monitor or tamper with the encrypted stream.",network,medium,,medium
cve-2011-3389,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2015-0204,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2023-41928,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2024-41270,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2025-3200,4.3,'- all services providing an encrypted communication using the tlsv1.0 and/or tlsv1.1 protocols - cve-2023-41928: kiloview p1 4g and p2 4g video encoder - cve-2024-41270: gorush v1.18.4 - cve-2025-3200: multiple products from wiesemann & theis an attacker might be able to use the known cryptographic flaws to eavesdrop the connection between clients and the service to get access to sensitive data transferred within the secured connection. furthermore newly uncovered vulnerabilities in this protocols won't receive security updates anymore.,network,medium,,medium
cve-2015-4000,3.7,"'- hosts accepting 'dhe_export' cipher suites. - openssl versions prior to 1.0.1n and 1.0.2 prior to 1.0.2b. successful exploitation will allow a man-in-the-middle attacker to downgrade the security of a tls session to 512-bit export-grade cryptography, which is significantly weaker, allowing the attacker to more easily break the encryption and monitor or tamper with the encrypted stream.",network,medium,,low
cve-2014-3566,3.4,successful exploitation will allow a man-in-the-middle attackers gain access to the plain text data stream.,network,medium,,low
cve-2014-3566,3.4,successful exploitation will allow a man-in-the-middle attackers gain access to the plain text data stream.,network,medium,,low
cve-1999-0524,2.1,this information could theoretically be used to exploit weak time-based random number generators in other services.,local,low,,low
